source,target,distance_m,time_h,traf_t,strength,type
470,471,12117,0.25,20455,20455,type1
827,844,5644,0.251111111,17541.7,17541.7,type1
487,497,10147,0.251388889,121921.8,121921.8,type1
824,845,8623,0.251944444,18697.8,18697.8,type1
243,286,6798,0.2525,12162,12162,type1
24,33,7635,0.2525,155501.6,155501.6,type1
170,186,11279,0.253333333,24642.8,24642.8,type1
326,329,7027,0.253611111,207978.2,207978.2,type1
625,629,16876,0.253888889,4861.6,4861.6,type1
1056,1078,11350,0.255833333,64073.4,64073.4,type1
656,678,11008,0.256111111,13622.6,13622.6,type1
243,250,9143,0.256388889,16732.2,16732.2,type1
759,781,9258,0.259166667,42485,42485,type1
687,692,10004,0.259444444,26685.7,26685.7,type1
1083,1085,12179,0.259722222,26962.5,26962.5,type1
276,300,7175,0.260277778,8145.9,8145.9,type1
234,301,11507,0.261944444,10700.1,10700.1,type1
551,552,13092,0.262222222,30494.8,30494.8,type1
898,901,11823,0.262222222,386782.7,386782.7,type1
1028,1031,13747,0.2625,26005.6,26005.6,type1
1077,1084,9570,0.2625,29659.2,29659.2,type1
394,401,10256,0.263055556,71304.6,71304.6,type1
546,552,7891,0.263333333,32713.6,32713.6,type1
1063,1069,11854,0.263888889,83981.6,83981.6,type1
45,505,13085,0.265555556,62879.1,62879.1,type1
21,35,4838,0.2675,166683.1,166683.1,type1
1004,1005,8529,0.268055556,9279.8,9279.8,type1
527,601,9553,0.268055556,19111.9,19111.9,type1
27,30,9207,0.268055556,136281.7,136281.7,type1
20,27,11363,0.268055556,235233.6,235233.6,type1
740,742,11282,0.268611111,18829,18829,type1
359,360,14431,0.270555556,40427.7,40427.7,type1
1063,1073,8700,0.270555556,58737.4,58737.4,type1
266,297,12048,0.270833333,8404.9,8404.9,type1
577,1017,6813,0.271666667,27436.4,27436.4,type1
1067,1085,8870,0.271944444,35947.2,35947.2,type1
18,21,10347,0.2725,815882.8,815882.8,type1
518,524,8244,0.273333333,156009.8,156009.8,type1
274,291,10084,0.274166667,8441.5,8441.5,type1
230,312,10957,0.274722222,8705.5,8705.5,type1
159,161,13675,0.274722222,44928,44928,type1
556,591,11985,0.276111111,18218,18218,type1
27,35,9251,0.276111111,118325.2,118325.2,type1
391,426,13097,0.276388889,23839.7,23839.7,type1
981,999,8655,0.276666667,38045.4,38045.4,type1
185,987,11327,0.276666667,51684.4,51684.4,type1
791,797,9811,0.276944444,18269.6,18269.6,type1
501,998,10795,0.2775,36614,36614,type1
207,209,10037,0.277777778,20359,20359,type1
698,700,9614,0.278055556,86589.1,86589.1,type1
655,677,12814,0.278333333,13633.1,13633.1,type1
