source,target,distance_m,time_h,traf_T,strength,type
341,881,53476,1.08,11181.2,11181.2,type1
912,948,29785,1.08,3621.7,3621.7,type1
993,999,52589,1.080277778,6995.3,6995.3,type1
560,577,50949,1.080277778,5279.6,5279.6,type1
248,250,39100,1.080833333,3761.5,3761.5,type1
45,484,69672,1.081111111,37620.9,37620.9,type1
526,536,35277,1.081111111,14602.7,14602.7,type1
540,593,39661,1.081388889,5175.1,5175.1,type1
497,500,53829,1.081666667,18619.3,18619.3,type1
302,919,52103,1.081944444,2475,2475,type1
232,268,41670,1.082222222,3793.6,3793.6,type1
680,689,78670,1.0825,23009.7,23009.7,type1
1084,1085,61913,1.0825,6160.9,6160.9,type1
488,509,50755,1.0825,12272.5,12272.5,type1
1007,1022,67940,1.082777778,15925.9,15925.9,type1
510,998,56124,1.082777778,6943,6943,type1
540,624,55474,1.082777778,2376.1,2376.1,type1
525,581,46315,1.082777778,7135.8,7135.8,type1
247,307,32166,1.082777778,2136.5,2136.5,type1
494,1004,56960,1.083055556,4724.3,4724.3,type1
347,884,38867,1.083055556,6658.6,6658.6,type1
708,712,70251,1.083611111,8674.8,8674.8,type1
700,719,42869,1.083888889,6779.3,6779.3,type1
706,708,76959,1.084166667,11118.6,11118.6,type1
1063,1084,70105,1.084166667,10303.7,10303.7,type1
305,624,30077,1.084166667,1440.3,1440.3,type1
907,959,23593,1.084166667,2917.5,2917.5,type1
893,1089,23935,1.084444444,4475.4,4475.4,type1
272,297,33405,1.084722222,2015.2,2015.2,type1
341,882,55657,1.085,10771.9,10771.9,type1
197,203,52692,1.085277778,6719.3,6719.3,type1
770,804,25459,1.085277778,5218,5218,type1
272,278,51240,1.085833333,2347.4,2347.4,type1
234,320,42612,1.085833333,1901,1901,type1
230,234,60065,1.086388889,6586,6586,type1
149,159,34895,1.086388889,23353.1,23353.1,type1
392,398,51045,1.086944444,18481.3,18481.3,type1
571,1038,40610,1.086944444,4472.7,4472.7,type1
69,79,46008,1.0875,8589.4,8589.4,type1
31,65,68624,1.087777778,15155.7,15155.7,type1
691,693,63893,1.087777778,2569.7,2569.7,type1
869,882,47705,1.088055556,112888.1,112888.1,type1
818,831,34893,1.088333333,10223,10223,type1
488,497,63417,1.088611111,27769.4,27769.4,type1
369,378,53947,1.088888889,7782.2,7782.2,type1
119,133,22429,1.088888889,2572.6,2572.6,type1
71,81,48740,1.089166667,8219.3,8219.3,type1
286,313,30697,1.089166667,1567.2,1567.2,type1
566,584,45675,1.089444444,4669.3,4669.3,type1
255,557,30430,1.089444444,4397.9,4397.9,type1
30,67,37565,1.09,14848,14848,type1
996,997,34687,1.09,6859.5,6859.5,type1
555,593,45774,1.090277778,4566.8,4566.8,type1
548,561,39452,1.090277778,6746.5,6746.5,type1
396,779,65939,1.090555556,10757.1,10757.1,type1
552,611,49763,1.090555556,3375.3,3375.3,type1
981,1005,40609,1.090555556,3788.2,3788.2,type1
160,186,63560,1.090833333,11534.5,11534.5,type1
543,550,55045,1.091111111,8353.2,8353.2,type1
724,742,41704,1.091388889,8559.4,8559.4,type1
992,1002,38928,1.091666667,6423,6423,type1
1073,1084,69892,1.091944444,7741.8,7741.8,type1
270,919,46762,1.091944444,3341.2,3341.2,type1
544,622,41275,1.091944444,2811.9,2811.9,type1
1006,1024,59520,1.092222222,17545.7,17545.7,type1
526,621,20305,1.092222222,3307.3,3307.3,type1
518,598,67314,1.0925,5371.2,5371.2,type1
557,919,56528,1.0925,5832.5,5832.5,type1
644,678,52316,1.0925,3688.8,3688.8,type1
146,259,55679,1.093055556,4927.6,4927.6,type1
796,799,37053,1.093055556,4170.6,4170.6,type1
186,216,30840,1.093333333,4833.2,4833.2,type1
499,981,57681,1.093611111,22978.4,22978.4,type1
219,248,57388,1.093611111,7319.6,7319.6,type1
57,506,53718,1.093611111,11523.5,11523.5,type1
426,1063,69959,1.093888889,6211.2,6211.2,type1
648,674,58188,1.093888889,5362.6,5362.6,type1
158,202,68720,1.094166667,8255,8255,type1
230,297,45896,1.094166667,2752,2752,type1
916,921,41894,1.094722222,5220.9,5220.9,type1
785,816,40436,1.094722222,3445.9,3445.9,type1
529,560,38549,1.094722222,8685.2,8685.2,type1
552,584,37579,1.094722222,5327.8,5327.8,type1
240,291,34784,1.094722222,2712.7,2712.7,type1
535,554,58738,1.095,8581.6,8581.6,type1
395,398,50987,1.095,16925.6,16925.6,type1
246,260,46060,1.095,3511.7,3511.7,type1
69,133,48949,1.095277778,3596.9,3596.9,type1
530,584,48721,1.095277778,6413.1,6413.1,type1
223,229,76745,1.095555556,9652.6,9652.6,type1
519,540,66267,1.095555556,16543.3,16543.3,type1
562,610,29759,1.095555556,3190.2,3190.2,type1
