id_gephi,description_n4_eng,x,y,modularity,mod_label,eccentricity,degree,lon,h_closeness,w_degree,cod_p,cod_p1,closeness,eigenvector,weight,betweenness,group_eng,lat,node
134,Barranco de Loba,10.3385582,58.1738205,0,Zone 0,1,2,-74.11248,1,38252.3,105,10534,1,4.55E-04,19100,0, Bolivar,8.94862,195
135,San Martin de Loba,11.64074898,58.03697968,0,Zone 0,1,2,-74.03787,1,37280.2,105,10535,1,4.55E-04,18891,0, Bolivar,8.940875,196
978,Altos del Rosario,9.432991028,55.42012787,0,Zone 0,1,2,-74.1643652,1,10530.9,105,10538,1,4.55E-04,14763,0, Bolivar,8.792732,199
2,Toledo,38.8229599,29.23083496,1,Zone 1,19,4,-72.480444,0.11434598,31721.8,122,12221,0.095769455,0.001889577,17288,1.34E-06, Norte de Santander,7.307025,827
3,Labateca,38.54210281,29.082901,1,Zone 1,19,3,-72.496536,0.113417239,22626.7,122,12238,0.095732299,0.001381636,5911,0, Norte de Santander,7.298618,844
6,El Zulia,36.65208435,40.32913971,1,Zone 1,19,15,-72.604826,0.128183517,182545.4,122,12218,0.102385892,0.007333911,23921,0.002787595, Norte de Santander,7.937289,824
7,San Cayetano,36.3111496,39.29764557,1,Zone 1,19,14,-72.62436,0.127676932,70053.3,122,12239,0.102375272,0.006824205,5866,0.001594515, Norte de Santander,7.878751,845
98,Malaga,34.46928787,18.6243515,1,Zone 1,16,10,-72.729891,0.161891519,45687.1,127,12726,0.125,0.005507698,18230,4.04E-04, Santander,6.703858,912
99,Concepcion,35.08708191,19.78364563,1,Zone 1,16,9,-72.694494,0.162261407,31450.5,127,12758,0.125095057,0.005060046,5042,0.022783859, Santander,6.769822,944
170,Soata,35.31264877,12.16503906,1,Zone 1,17,15,-72.6815699,0.187753365,36842.6,106,10655,0.13334234,0.025335695,6541,0.023849127, Boyaca,6.336161,262
171,Tipacoque,35.14712143,13.65074921,1,Zone 1,17,17,-72.691054,0.18558281,29296.3,106,106103,0.131127939,0.017425467,2969,0.015118389, Boyaca,6.420759,310
237,San Jose de Miranda,34.40890121,17.8292923,1,Zone 1,16,11,-72.733351,0.166661904,26590.1,127,12770,0.128015564,0.006840249,4173,0.001110826, Santander,6.658614,956
238,Enciso,34.99081039,17.98649597,1,Zone 1,16,14,-72.70001,0.168688246,28859.6,127,12777,0.128115265,0.00811713,3085,0.001958278, Santander,6.66756,963
413,Pamplona,35.85776901,30.48386383,1,Zone 1,18,14,-72.6503369,0.134064214,142393.7,122,12215,0.105821808,0.006026567,58975,0.010963621, Norte de Santander,7.37823,821
414,Pamplonita,36.06577682,31.52103424,1,Zone 1,18,14,-72.638419,0.134064214,44761.5,122,12242,0.105821808,0.006316354,4984,0.011208869, Norte de Santander,7.437159,848
468,Capitanejo,35.05358887,15.5451355,1,Zone 1,16,18,-72.696413,0.171221174,39482.3,127,12753,0.128231779,0.0103581,5375,0.00491337, Santander,6.528607,939
469,Susacon,35.168396,10.31086731,1,Zone 1,16,15,-72.689835,0.19634472,22245.9,106,106104,0.140558246,0.049700634,2861,0.011599376, Boyaca,6.230563,311
514,Ragonvalia,38.8984108,33.99765778,1,Zone 1,20,3,-72.476121,0.109155569,11344.7,122,12237,0.092929103,0.001258498,6912,0.001658272, Norte de Santander,7.577843,843
515,Herran,38.77682877,32.72422028,1,Zone 1,21,1,-72.483087,0.095820988,5066.5,122,12245,0.085034893,2.65E-04,3874,0, Norte de Santander,7.505511,851
537,Güican,40.01618958,14.39341736,1,Zone 1,18,5,-72.412077,0.131952667,12310.7,106,10656,0.107963247,0.001826163,6506,6.07E-07, Boyaca,6.463042,263
538,El Cocuy,39.43372345,13.44230652,1,Zone 1,18,6,-72.4454499,0.136639528,13689.5,106,10668,0.110526316,0.002206449,5085,1.18E-05, Boyaca,6.408891,275
560,Cerrito,35.0442009,20.99970245,1,Zone 1,17,8,-72.696951,0.159509176,22013.9,127,12751,0.123082679,0.004153519,5473,0.005633074, Santander,6.839006,937
565,Cucuta,38.53942108,39.47994232,1,Zone 1,19,12,-72.4966896,0.126663761,149169.3,122,12211,0.102354039,0.006023102,675008,0.002108538, Norte de Santander,7.8890971,817
566,Gramalote,33.30159378,39.45684052,1,Zone 1,20,9,-72.796795,0.116842175,27010.3,122,12240,0.096283289,0.004488783,5301,1.18E-04, Norte de Santander,7.887786,846
567,Santiago,34.68220139,39.04029083,1,Zone 1,20,14,-72.717692,0.119712827,28907.8,122,12249,0.096349082,0.006576683,2887,0.001074409, Norte de Santander,7.864145,855
576,Los Patios,38.40498734,38.49507904,1,Zone 1,19,12,-72.504392,0.126663761,126449.7,122,12214,0.102354039,0.006023102,80242,0.002108538, Norte de Santander,7.833199,820
695,Bochalema,35.90986633,34.59976959,1,Zone 1,19,11,-72.647352,0.122010385,52485.5,122,12236,0.098927533,0.005723114,7152,2.88E-04, Norte de Santander,7.612039,842
698,Silos,33.99625015,27.43268585,1,Zone 1,18,4,-72.756994,0.125150344,9885.8,122,12244,0.103242678,0.001770919,4124,0, Norte de Santander,7.204824,850
699,Mutiscua,34.17411804,29.110672,1,Zone 1,18,6,-72.746803,0.12658567,14099.8,122,12246,0.103296703,0.002750588,3704,0.001264711, Norte de Santander,7.300196,852
701,Villa del Rosario,39.01065826,38.681633,1,Zone 1,19,12,-72.4696897,0.126832623,115419.3,122,12213,0.102364655,0.005866382,96941,0.003743709, Norte de Santander,7.8437879,819
749,Chinacota,36.69320297,34.3911972,1,Zone 1,19,13,-72.60247,0.123192418,97765,122,12222,0.098957289,0.006247016,17009,0.001746235, Norte de Santander,7.600193,828
752,Lourdes,32.68987274,40.46204376,1,Zone 1,20,6,-72.831844,0.115069125,11018.6,122,12248,0.096236349,0.003020755,3347,1.16E-04, Norte de Santander,7.944831,854
758,Carcasi,36.26889801,17.26750946,1,Zone 1,17,7,-72.6267809,0.153811289,13942.2,127,12763,0.119404791,0.003901939,4938,3.78E-07, Santander,6.626642,949
771,San Mateo,37.52810287,13.32151031,1,Zone 1,17,11,-72.5546339,0.157382939,14773,106,10699,0.120941061,0.005475262,3304,0.003079556, Boyaca,6.402013,306
772,La Uvita,37.44034576,11.82705688,1,Zone 1,17,7,-72.559662,0.161005063,8323.8,106,106118,0.124057315,0.00479075,2173,0.00139079, Boyaca,6.316914,325
808,Sativanorte,34.8491745,8.567764282,1,Zone 1,17,11,-72.708125,0.187731033,11207.6,106,106117,0.135688754,0.043665553,2177,0.00160482, Boyaca,6.131271,324
813,Boavita,37.0257225,12.08355713,1,Zone 1,17,8,-72.583418,0.161849372,16092.1,106,10657,0.124104112,0.006111422,6442,3.60E-04, Boyaca,6.331521,264
820,Arboledas,33.26551819,35.14902496,1,Zone 1,20,4,-72.798862,0.109577724,12896.9,122,12232,0.092929103,0.001738056,8928,3.48E-05, Norte de Santander,7.64323,838
821,Cucutilla,33.72946167,33.32086945,1,Zone 1,19,3,-72.77228,0.114261549,11201.4,122,12235,0.095778748,0.001250063,7393,4.82E-04, Norte de Santander,7.539403,841
836,Onzaga,32.98748779,12.30001068,1,Zone 1,16,4,-72.814792,0.168808345,5685.1,127,12764,0.131635103,0.003024792,4849,0.003811353, Santander,6.343847,950
853,Salazar,33.07221985,37.43082428,1,Zone 1,20,9,-72.809937,0.112110652,28881.7,122,12233,0.092972871,0.004094825,8834,2.43E-04, Norte de Santander,7.772786,839
859,Durania,35.75510788,36.40743256,1,Zone 1,19,11,-72.6562189,0.122010385,25464.5,122,12247,0.098927533,0.005669969,3656,8.31E-04, Norte de Santander,7.714685,853
869,El Espino,39.65345764,14.80371094,1,Zone 1,18,4,-72.43286,0.131277219,7131.2,106,10685,0.107939633,0.001446305,4226,0, Boyaca,6.4864,292
870,Covarachia,34.30604553,15.04901886,1,Zone 1,16,10,-72.739244,0.166595565,11516.7,106,106108,0.127932599,0.006475097,2702,0.001005428, Boyaca,6.500365,315
884,Sardinata,33.24675369,42.93421173,1,Zone 1,20,10,-72.799937,0.12337276,64560.9,122,12220,0.100304878,0.004678563,22583,0.012635386, Norte de Santander,8.085092,826
893,San Miguel,35.93377686,16.39083099,1,Zone 1,17,8,-72.645982,0.156741264,7919.8,127,12787,0.1212084,0.004845463,2252,8.38E-06, Santander,6.576745,973
922,Chiscas,38.47609329,15.96911621,1,Zone 1,17,6,-72.5003179,0.141151861,8534,106,10686,0.113775216,0.00248112,3906,2.86E-04, Boyaca,6.552741,293
923,Molagavita,33.08391571,18.10642242,1,Zone 1,17,7,-72.809267,0.150881096,13354,127,12762,0.122017555,0.003357886,4980,0.008240379, Santander,6.674385,948
950,Chitaga,35.59320831,26.24159241,1,Zone 1,17,6,-72.665495,0.141422667,16972.2,122,12231,0.112146347,0.002577037,10445,0.026805532, Norte de Santander,7.137113,837
953,Macaravita,36.86564255,15.15045929,1,Zone 1,17,8,-72.59259,0.153364244,7094.7,127,12788,0.119001688,0.003941926,2233,5.99E-04, Santander,6.50614,974
956,Chita,38.9839325,9.550292969,1,Zone 1,18,3,-72.471221,0.141157506,5290,106,10638,0.113644214,0.001245894,9053,2.99E-05, Boyaca,6.187241,245
963,Puerto Santander,40.08055496,47.80544281,1,Zone 1,20,7,-72.408389,0.115660142,35154.4,122,12230,0.09625512,0.003712164,10926,4.46E-07, Norte de Santander,8.361323,836
983,Bucarasica,32.05813599,42.15361786,1,Zone 1,20,2,-72.8680399,0.123125168,4806,122,12243,0.103177922,7.84E-04,4568,0.012916697, Norte de Santander,8.04081,849
0,Certegui,-33.07738113,-4.259605408,2,Zone 2,1,9,-76.60003,1,81594,112,11227,1,0.003323092,10234,1.78E-06, Choco,5.40004,470
1,Union Panamericana,-33.86975861,-5.899688721,2,Zone 2,1,9,-76.64543,1,88355.3,112,11228,1,0.003323092,10221,1.78E-06, Choco,5.30648,471
253,Tado,-32.36882782,-6.627761841,2,Zone 2,1,9,-76.559433,1,86490.4,112,11216,1,0.003323092,19169,1.78E-06, Choco,5.2649419,459
317,Istmina,-34.60471725,-8.505714417,2,Zone 2,1,9,-76.68754,1,100152.9,112,11215,1,0.003323092,25981,1.78E-06, Choco,5.157788,458
318,Condoto,-33.98580551,-9.701538086,2,Zone 2,2,7,-76.652079,0.888888889,57906.4,112,11220,0.818181818,0.00267634,15334,5.61E-07, Choco,5.089546,463
359,Canton de San Pablo,-35.36969376,-5.330879211,2,Zone 2,2,8,-76.73137,0.944444444,48618.8,112,11234,0.9,0.003011643,8798,8.01E-07, Choco,5.33893,477
433,Rio Iro,-33.35715485,-9.106056213,2,Zone 2,2,7,-76.6160598,0.888888889,42894.9,112,11226,0.818181818,0.00267634,10396,5.61E-07, Choco,5.1235292,469
443,El Atrato,-33.39390564,-1.544288635,2,Zone 2,2,8,-76.6181655,0.944444444,63191.6,112,11225,0.9,0.003011643,11045,8.01E-07, Choco,5.5549057,468
559,Quibdo,-33.94623947,0.923751831,2,Zone 2,2,6,-76.649812,0.833333333,64827.1,112,11211,0.75,0.002344162,116277,0, Choco,5.695633,454
714,Novita,-33.20512009,-12.038414,2,Zone 2,2,6,-76.607349,0.833333333,28378.4,112,11235,0.75,0.002300988,7967,2.40E-07, Choco,4.956167,478
8,Ramiriqui,23.89526367,-4.228034973,3,Zone 3,16,49,-73.335738,0.240211238,207774.6,106,10636,0.151566339,0.636054536,9679,6.58E-04, Boyaca,5.401841,243
9,Cienega,24.59089851,-4.099754333,3,Zone 3,16,33,-73.295881,0.225312797,88242.9,106,10679,0.148131472,0.457963262,4498,8.61E-05, Boyaca,5.409158,286
22,Jenesano,23.39957237,-4.522712708,3,Zone 3,16,56,-73.364139,0.245901883,213301.8,106,10643,0.152197379,0.728893923,7705,0.001475268, Boyaca,5.385032,250
29,Mongui,32.38888931,1.40738678,3,Zone 3,16,33,-72.849089,0.218264784,100907.7,106,10669,0.14302275,0.346932667,4982,8.42E-05, Boyaca,5.723206,276
30,Topaga,32.68878937,2.205718994,3,Zone 3,16,32,-72.831906,0.217758199,81229.3,106,10693,0.143002028,0.341528854,3691,8.30E-05, Boyaca,5.768717,300
31,Santa Rosa de Viterbo,30.05644989,4.049087524,3,Zone 3,16,47,-72.982728,0.235775398,264332.1,106,10627,0.149863346,0.524734293,13402,0.006480504, Boyaca,5.8737899,234
32,Cerinza,30.6459713,5.502311707,3,Zone 3,16,45,-72.9489509,0.231709043,94897.7,106,10694,0.146918726,0.471776229,3544,0.020430577, Boyaca,5.95661,301
