source,target,distance_m,time_h,traf_t,strength,type
49,59,8050,0.251111111,101970.6,0.251111111,type1
19,23,8844,0.251111111,138237.6,0.251111111,type1
294,303,9689,0.252777778,79987,0.252777778,type1
39,44,8243,0.255555556,159950.7,0.255555556,type1
216,219,14324,0.255555556,33194.2,0.255555556,type1
130,134,15138,0.255833333,15899.7,0.255833333,type1
310,313,13269,0.258055556,53139.6,0.258055556,type1
264,269,6416,0.26,122793.9,0.26,type1
88,98,10263,0.263333333,150927.6,0.263333333,type1
202,206,9306,0.269166667,367560.3,0.269166667,type1
47,48,8102,0.269444444,350842.4,0.269444444,type1
313,315,12789,0.269444444,45124.3,0.269444444,type1
291,304,14056,0.2725,33190.9,0.2725,type1
109,204,13524,0.272777778,1681551.9,0.272777778,type1
25,37,9128,0.273333333,100349.2,0.273333333,type1
310,312,13210,0.274166667,57751.7,0.274166667,type1
49,52,6933,0.274722222,93178.6,0.274722222,type1
248,253,9593,0.276111111,37607.6,0.276111111,type1
95,97,11582,0.276944444,211471.4,0.276944444,type1
315,321,8942,0.277777778,32489.7,0.277777778,type1
312,322,13715,0.278333333,60014.8,0.278333333,type1
262,276,17572,0.278333333,39651.1,0.278333333,type1
334,343,10829,0.278611111,129432.8,0.278611111,type1
91,99,12173,0.280555556,493465.8,0.280555556,type1
222,224,9998,0.282222222,91464.7,0.282222222,type1
190,198,11138,0.284722222,115628.2,0.284722222,type1
168,174,9931,0.285,240168.3,0.285,type1
260,264,7967,0.287777778,60629.3,0.287777778,type1
304,305,12913,0.291111111,44211.1,0.291111111,type1
47,57,16749,0.291944444,266330.2,0.291944444,type1
231,232,17479,0.293888889,62004.5,0.293888889,type1
189,191,14455,0.298333333,62876.4,0.298333333,type1
222,226,11285,0.3,79344.4,0.3,type1
47,52,9328,0.300833333,197080.3,0.300833333,type1
45,49,12460,0.301111111,58671.6,0.301111111,type1
301,303,15017,0.301388889,40475.5,0.301388889,type1
310,315,10596,0.301944444,30964.8,0.301944444,type1
315,320,12454,0.304444444,48258.4,0.304444444,type1
315,324,12454,0.304444444,48258.4,0.304444444,type1
233,244,13352,0.309722222,84663.2,0.309722222,type1
294,308,14768,0.31,146310.9,0.31,type1
220,225,15696,0.310833333,57684.8,0.310833333,type1
89,97,11429,0.311388889,195843.9,0.311388889,type1
45,59,10701,0.312222222,91467.5,0.312222222,type1
296,308,12866,0.313888889,77965.3,0.313888889,type1
319,322,18507,0.319444444,56541.3,0.319444444,type1
250,255,14085,0.3225,34769.9,0.3225,type1
192,195,11005,0.323055556,132838.4,0.323055556,type1
261,268,13765,0.323888889,25724.2,0.323888889,type1
86,94,9903,0.325555556,50562.4,0.325555556,type1
48,88,17365,0.325555556,255495.2,0.325555556,type1
231,241,19289,0.330555556,28807.8,0.330555556,type1
188,193,12027,0.330833333,154009.4,0.330833333,type1
79,83,17450,0.331388889,32830.8,0.331388889,type1
314,323,20783,0.333055556,56419.7,0.333055556,type1
303,308,22378,0.333333333,84719.5,0.333333333,type1
228,229,20734,0.335,45974.8,0.335,type1
312,318,20501,0.336388889,45614.1,0.336388889,type1
314,320,12989,0.337777778,108753.2,0.337777778,type1
314,324,12989,0.337777778,108753.2,0.337777778,type1
224,225,17344,0.338611111,65373.1,0.338611111,type1
131,135,24875,0.338888889,10719.2,0.338888889,type1
92,99,14082,0.339166667,373724,0.339166667,type1
313,314,17919,0.340833333,70860.4,0.340833333,type1
192,199,12896,0.341111111,86251.8,0.341111111,type1
220,224,14715,0.3475,47889.7,0.3475,type1
320,321,14074,0.349166667,45757.9,0.349166667,type1
53,88,19851,0.350555556,145683.5,0.350555556,type1
195,199,12203,0.350833333,153118.3,0.350833333,type1
269,270,9200,0.3525,56531.6,0.3525,type1
107,108,19756,0.3525,70788.3,0.3525,type1
184,344,15656,0.353333333,61756.7,0.353333333,type1
198,203,19881,0.354444444,183420.3,0.354444444,type1
220,223,16428,0.358888889,55790.2,0.358888889,type1
118,128,16825,0.358888889,96689.2,0.358888889,type1
50,57,24385,0.36,237260.7,0.36,type1
221,226,15752,0.361388889,43684.6,0.361388889,type1
321,324,15038,0.361944444,44142.5,0.361944444,type1
262,277,13365,0.363333333,40467.6,0.363333333,type1
95,99,15886,0.363888889,363659.3,0.363888889,type1
89,92,13533,0.365833333,221173.4,0.365833333,type1
263,279,13191,0.366111111,76937.9,0.366111111,type1
303,306,15717,0.368055556,56666,0.368055556,type1
