id_gephi,node,description_n4_eng,x,y,,modularity,mod_label,eccentricity,degree,lon,h_closeness,w_degree,cod_p,cod_p1,component,closeness,eigenvector,weight,clustering,betweenness,group_eng,region_2,lat
242,114,San Juan de los Cayos,-8.688939286,31.19573974,32.39147948,3,Zone 3,11,13,-68.4099445,0.307257469,105245.9,111,11111,0,0.228635682,0.162504743,19045,0.756410256,3.63E-04,Falcon,Acosta,11.1737969
156,64,Barinas,-66.09085922,-59.19195556,-148.3839111,0,Zone 0,12,14,-70.2371045,0.290726232,567900.2,105,10512,0,0.223443223,0.023042625,353851,0.571428571,0.007277622,Barinas,Barinas,8.6231498
175,66,Barinitas,-71.25659638,-54.54229736,-139.0845947,0,Zone 0,12,13,-70.401535,0.289086888,312169,105,10514,0,0.223279649,0.02177307,52872,0.576923077,0.006628416,Barinas,Bolivar,8.7548237
160,295,Campo Elias,-60.5500351,-31.94454956,-93.88909912,0,Zone 0,12,5,-70.0607345,0.261827171,26954,121,12117,0,0.208761123,0.008488328,5331,0.8,0.001085519,Trujillo,Campo Elias,9.3940958
108,170,Santo Domingo,-80.3683136,-50.7053833,-131.4107666,0,Zone 0,13,7,-70.6915699,0.26755959,42247.3,114,11418,0,0.205664194,0.007549234,9441,0.428571429,0.031084583,Merida,Cardenal Quintero,8.8634466
157,67,Barrancas,-62.28031997,-54.34771728,-138.6954346,0,Zone 0,12,19,-70.1158113,0.311819128,302779.4,105,10515,0,0.230188679,0.043964214,26042,0.467836257,0.047868367,Barinas,Cruz Paredes,8.7603327
206,234,Guanare,-50.11864013,-44.56802368,-119.1360474,0,Zone 0,11,25,-69.7286928,0.332923616,842190,118,11814,0,0.239403454,0.093083842,192644,0.43,0.042888414,Portuguesa,Guanare,9.0371279
233,235,Guanarito,-33.83198548,-56.49435424,-142.9887085,0,Zone 0,12,12,-69.2102725,0.282607575,166706.8,118,11815,0,0.215243472,0.028573309,37553,0.636363636,0.002437615,Portuguesa,Guanarito,8.6995484
205,236,Paraiso de Chabasquen,-57.1358036,-30.63085938,-91.26171875,0,Zone 0,12,7,-69.9520561,0.274012963,83494.2,118,11816,0,0.213137666,0.015983817,23744,0.428571429,0.002733948,Portuguesa,Jose Vicente de Unda,9.4312231
290,41,Bruzual,-37.71717338,-79.50823974,-189.0164795,0,Zone 0,13,4,-69.3339418,0.22226685,43203.8,103,10314,0,0.182416268,0.004382437,27542,0.5,6.95E-04,Apure,Munoz,8.047281
292,68,Obispos,-59.47437744,-60.60455322,-151.2091064,0,Zone 0,12,6,-70.0264952,0.251085563,107352.6,105,10516,0,0.20052597,0.012073616,37493,1,0,Barinas,Obispos,8.5831366
232,237,Ospino,-41.60194245,-35.39242554,-100.7848511,0,Zone 0,11,26,-69.4575979,0.341776075,553231.1,118,11817,0,0.248169243,0.140188564,49228,0.52,0.026195421,Portuguesa,Ospino,9.2966318
225,239,Papelon,-41.74234772,-47.92913818,-125.8582764,0,Zone 0,12,16,-69.4620671,0.298368699,157043.5,118,11819,0,0.223607038,0.056090947,16191,0.583333333,0.002888214,Portuguesa,Papelon,8.9420217
